alpha,attention_effective_rank,attention_effective_rank_lower,attention_effective_rank_upper,beta,cell_id,correlation,d,delta,distance_uniform,distance_uniform_lower,distance_uniform_upper,gamma,input_kind,jacobian_op,jacobian_op_lower,jacobian_op_upper,label,label_sensitivity_minus_0p05,label_sensitivity_plus_0p05,m,mask,max_mass,max_mass_lower,max_mass_upper,mean_cij2,mean_vi_vj,n,normalized_entropy,normalized_entropy_lower,normalized_entropy_upper,phi,s,sample_count,self_mass,self_mass_lower,self_mass_upper,tau,update_to_weight_min,update_to_weight_min_lower,update_to_weight_min_upper
-1.0,0.1702526744459182,0.1702526744459182,0.1702526744459182,0.0,0,0.25,32,-0.5113387703895569,0.060256052762269974,0.060256052762269974,0.060256052762269974,0.0,synthetic,0.06858739256858826,0.06858739256858826,0.06858739256858826,diffuse,diffuse,gradient_starved,8,unmasked,0.0700918510556221,0.0700918510556221,0.0700918510556221,0.07063625007867813,0.9999781250953674,24,0.9887858629226685,0.9887858629226685,0.9887858629226685,0.0,0.5,1,0.026386244222521782,0.026386244222521782,0.026386244222521782,0.27102676033973694,5.891037550463337e-05,5.891037550463337e-05,5.891037550463337e-05
-1.0,0.41491885439446285,0.41491885439446285,0.41491885439446285,0.0,0,0.25,32,-0.5113387703895569,0.09696491807699203,0.09696491807699203,0.09696491807699203,0.0,synthetic,0.12395120412111282,0.12395120412111282,0.12395120412111282,diffuse,diffuse,screened_candidate,8,causal,0.1344022899866104,0.1344022899866104,0.1344022899866104,0.07063625007867813,0.9999781250953674,24,0.9855561852455139,0.9855561852455139,0.9855561852455139,0.0,0.5,1,0.047994215041399,0.047994215041399,0.047994215041399,0.2624061703681946,9.859452476415873e-05,9.859452476415873e-05,9.859452476415873e-05
-1.0,0.25227071840229304,0.25227071840229304,0.25227071840229304,0.0,0,,32,-0.8041597008705139,0.0664341002702713,0.0664341002702713,0.0664341002702713,0.0,real_activation,0.07564547657966614,0.07564547657966614,0.07564547657966614,diffuse,diffuse,screened_candidate,8,unmasked,0.07616531848907471,0.07616531848907471,0.07616531848907471,0.0317501537501812,0.9996583461761475,24,0.9846696257591248,0.9846696257591248,0.9846696257591248,0.0,0.5,1,0.018978523090481758,0.018978523090481758,0.018978523090481758,0.29633238911628723,8.198560630762011e-05,8.198560630762011e-05,8.198560630762011e-05
-1.0,0.40379224641193034,0.40379224641193034,0.40379224641193034,0.0,0,,32,-0.8041597008705139,0.1385343372821808,0.1385343372821808,0.1385343372821808,0.0,real_activation,0.1154138520359993,0.1154138520359993,0.1154138520359993,boundary_uncertain,boundary_uncertain,screened_candidate,8,causal,0.11708606779575348,0.11708606779575348,0.11708606779575348,0.0317501537501812,0.9996583461761475,24,0.9803952574729919,0.9803952574729919,0.9803952574729919,0.0,0.5,1,0.03828529641032219,0.03828529641032219,0.03828529641032219,0.31193825602531433,0.00014788474928727262,0.00014788474928727262,0.00014788474928727262
