alpha,attention_effective_rank,attention_effective_rank_lower,attention_effective_rank_upper,beta,cell_id,correlation,d,delta,distance_uniform,distance_uniform_lower,distance_uniform_upper,gamma,input_kind,jacobian_op,jacobian_op_lower,jacobian_op_upper,label,label_sensitivity_minus_0p05,label_sensitivity_plus_0p05,m,mask,max_mass,max_mass_lower,max_mass_upper,mean_cij2,mean_vi_vj,n,normalized_entropy,normalized_entropy_lower,normalized_entropy_upper,phi,s,sample_count,self_mass,self_mass_lower,self_mass_upper,tau,update_to_weight_min,update_to_weight_min_lower,update_to_weight_min_upper
-1.0,0.046623902377350215,0.046019817750989865,0.04746216388903959,0.0,0,0.0,64,-0.24851421313360333,0.009165809955447912,0.009051132015883923,0.009322612080723047,0.0,synthetic,0.01813842263072729,0.01805496495217085,0.0182324331253767,diffuse,diffuse,gradient_starved,16,unmasked,0.018172506242990494,0.018090691417455673,0.018255174160003662,0.015788863209309056,0.9999790266156197,64,0.9993927478790283,0.9993743896484375,0.9994188547134399,0.0,0.25,64,0.012350841891020536,0.012305086362175643,0.012400342151522636,0.0715803952771239,2.5310805743034715e-05,2.4966585919210805e-05,2.638470063788899e-05
-1.0,0.2956466125427982,0.2951086765994441,0.29626696631606675,0.0,0,0.0,64,-0.24851421313360333,0.024603241123259068,0.02286156639456749,0.025762751698493958,0.0,synthetic,0.034901250153779984,0.03457164019346237,0.035259909927845,diffuse,diffuse,gradient_starved,16,causal,0.03493995778262615,0.034651901572942734,0.0353725329041481,0.015788863209309056,0.9999790266156197,64,0.9991368055343628,0.9990712717175484,0.999168872833252,0.0,0.25,64,0.02372752595692873,0.02345537580549717,0.02422571191564202,0.0788326992187649,5.104675015476769e-05,4.858103652834739e-05,5.602335988669578e-05
-1.0,0.03786306296202836,0.03700612707603954,0.0385155749607641,0.0,0,0.25,64,-0.18334524147212505,0.009996200446039438,0.009671912994235754,0.010194803588092327,0.0,synthetic,0.018731665797531605,0.01859553374815732,0.018853358109481633,diffuse,diffuse,gradient_starved,16,unmasked,0.018778028897941113,0.018637387081980705,0.018894298002123833,0.07506727601867169,0.9999789735302329,64,0.9992578029632568,0.9992381535470486,0.9993121325969696,0.0,0.25,64,0.01307928143069148,0.013001873122993857,0.013135658577084541,0.07809721597004682,1.4464950512571711e-05,1.3874077321160858e-05,1.5425224653635344e-05
-1.0,0.302119916143075,0.30135108052207277,0.3028301439279653,0.0,0,0.25,64,-0.18334524077363312,0.02142102736979723,0.02053599525243044,0.02249361015856266,0.0,synthetic,0.035721272230148315,0.03540473058819771,0.03601766377687454,diffuse,diffuse,gradient_starved,16,causal,0.03582432307302952,0.035536881536245346,0.03609735518693924,0.07506727601867169,0.9999789735302329,64,0.9991002082824707,0.999043345451355,0.9991360411047936,0.0,0.25,64,0.025115426629781723,0.024837888777256012,0.025516576133668423,0.0803665576968342,3.283688214355568e-05,3.0784908156228226e-05,3.4665465226485165e-05
-1.0,0.02985519318537066,0.028975060215647747,0.03040499829589123,0.0,0,0.5,64,-0.12125230114907026,0.008218314033001661,0.007809958187863231,0.008442163467407227,0.0,synthetic,0.018222051672637463,0.018140465952455997,0.01841632928699255,diffuse,diffuse,gradient_starved,16,unmasked,0.01824862975627184,0.01817903481423855,0.018455099314451218,0.2527931018266827,0.9999788543209434,64,0.9994925558567047,0.999465823173523,0.9995432496070862,0.0,0.25,64,0.013853422831743956,0.013794606551527977,0.013926217332482338,0.06391728902235627,6.5137061627728355e-06,6.197763337951414e-06,7.010268154342842e-06
-1.0,0.30998121031114656,0.30923639302951256,0.31094799803875156,0.0,0,0.5,64,-0.12125230301171541,0.016539450734853745,0.015846649184823036,0.016863197460770606,0.0,synthetic,0.034818559885025024,0.03450664132833481,0.03510727733373642,diffuse,diffuse,gradient_starved,16,causal,0.03493710607290268,0.03461065515875816,0.03522485867142677,0.2527931018266827,0.9999788543209434,64,0.9993990063667297,0.9993646740913391,0.9994341477751731,0.0,0.25,64,0.026769137009978294,0.026412103325128555,0.026985653955489398,0.06453592632897198,1.7127880657383752e-05,1.6529811267168807e-05,1.7957065748960453e-05
-1.0,0.04676403102375535,0.045740171258177614,0.04751658522966914,0.0,0,,64,-0.2492729991208762,0.009245235938578844,0.009109707549214363,0.009482250548899174,0.0,real_activation,0.018173109740018845,0.018111754208803177,0.018240755423903465,diffuse,diffuse,gradient_starved,16,unmasked,0.018206490203738213,0.01814604178071022,0.01827707514166832,0.016668540862156078,0.9993288377299905,64,0.9993710517883301,0.9993416666984558,0.999394953250885,0.0,0.25,64,0.012310214340686798,0.012249181047081947,0.012353982497006654,0.07272817479679361,2.6974516888789267e-05,2.550122070332321e-05,2.7468897466778365e-05
-1.0,0.295396167260114,0.29482917364300226,0.2962436389515244,0.0,0,,64,-0.2492729991208762,0.024850327521562576,0.023601575754582882,0.025919009000062943,0.0,real_activation,0.03489441052079201,0.03465249761939049,0.03500881791114807,diffuse,diffuse,gradient_starved,16,causal,0.03502630442380905,0.034764356911182404,0.035112468525767326,0.016668540862156078,0.9993288377299905,64,0.9991135001182556,0.9990605711936951,0.9991504549980164,0.0,0.25,64,0.023801262490451336,0.02334281988441944,0.024083197116851807,0.07987482973840088,5.238642872716923e-05,5.0165967541305977e-05,5.506995274540795e-05
-0.8333333333333334,0.04546086865707258,0.045068582444467105,0.04615282169872549,0.542149462500171,2,0.0,64,-0.20769467880018055,0.00878830486908555,0.008655774872750044,0.008992837741971016,0.10784023305951812,synthetic,0.018072123639285564,0.018024221993982792,0.018131883814930916,diffuse,diffuse,gradient_starved,16,unmasked,0.018094138242304325,0.01805014256387949,0.018151366245001552,0.015788863209309056,0.9999790266156197,64,0.9994435906410217,0.9994112849235535,0.9994634762406349,0.19634954084936207,0.25,64,0.01277822908014059,0.012737770564854145,0.012832765467464924,0.06840059987735003,2.711542089733878e-05,2.5938599496112655e-05,2.7587885521454895e-05
-0.8333333333333334,0.30044176259185823,0.3001229668573811,0.30099369173712653,0.542149462500171,2,0.0,64,-0.20770985586568713,0.02111304271966219,0.02076979004777968,0.022055411711335182,0.10784023305951812,synthetic,0.03466459922492504,0.03431752324104309,0.03484630025923252,diffuse,diffuse,gradient_starved,16,causal,0.034775033593177795,0.034471468860283495,0.03492287108674645,0.015788863209309056,0.9999790266156197,64,0.9992349147796631,0.9991838335990906,0.999267041683197,0.19634954084936207,0.25,64,0.024833442643284798,0.024395584128797054,0.025100247003138065,0.0732727296417579,5.2794342124696415e-05,5.009575443725903e-05,5.4636927051535015e-05
