alpha,attention_effective_rank,attention_effective_rank_lower,attention_effective_rank_upper,beta,cell_id,correlation,d,delta,distance_uniform,distance_uniform_lower,distance_uniform_upper,gamma,input_kind,jacobian_op,jacobian_op_lower,jacobian_op_upper,label,label_sensitivity_minus_0p05,label_sensitivity_plus_0p05,m,mask,max_mass,max_mass_lower,max_mass_upper,mean_cij2,mean_vi_vj,n,normalized_entropy,normalized_entropy_lower,normalized_entropy_upper,phi,s,sample_count,self_mass,self_mass_lower,self_mass_upper,tau,update_to_weight_min,update_to_weight_min_lower,update_to_weight_min_upper
-1.0,0.17523748762701888,0.17484868430429631,0.17562629094974144,0.0,0,0.25,32,-0.5320231720672588,0.05010427356535779,0.04881925529404739,0.0513892918366682,0.0,synthetic,0.05945800094668472,0.05790218317662154,0.0610138187167479,diffuse,diffuse,gradient_starved,8,unmasked,0.059974062989684815,0.05854751295926047,0.06140061302010915,0.09750571111957732,0.9999762691570212,24,0.992428871056385,0.992123841030974,0.992733901081796,0.0,0.5,2,0.025621217495267676,0.02436277441462496,0.026879660575910395,0.21956521190172076,4.018210947486457e-05,3.028713965908654e-05,5.007707929064259e-05
-1.0,0.4129621660763382,0.4027552530663443,0.42316907908633206,0.0,0,0.25,32,-0.5320231720672588,0.07328841379656624,0.06929723493862595,0.07727959265450653,0.0,synthetic,0.11256553560999696,0.11110144082645176,0.11402963039354215,diffuse,diffuse,gradient_starved,8,causal,0.11614388652797775,0.11561428345949804,0.11667348959645744,0.09750571111957732,0.9999762691570212,24,0.9904190972040752,0.9896511309051276,0.9911870635030228,0.0,0.5,2,0.042066718479383036,0.03856594313069814,0.04556749382806793,0.20636858352410956,6.780607474737944e-05,5.2956977993596825e-05,8.265517150116205e-05
-1.0,0.21799090708408675,0.21270852829723663,0.2232732858709369,0.0,0,,32,-0.6841243069531087,0.0568747212450983,0.054463422485619556,0.05928602000457704,0.0,real_activation,0.06332703731627681,0.062043438439914486,0.06461063619263913,diffuse,diffuse,gradient_starved,8,unmasked,0.06442070875047642,0.06283944301640321,0.06600197448454966,0.031115047439315487,0.9996373731657016,24,0.9900277109440523,0.9899805713770403,0.9900748505110644,0.0,0.5,2,0.02149964224442888,0.02035485881637695,0.02264442567248081,0.2542478425096057,8.334714730809449e-05,7.950496668428129e-05,8.718932793190768e-05
-1.0,0.39337687739782456,0.38679174261271454,0.3999620121829346,0.0,0,,32,-0.6841243069531087,0.11179901304681526,0.10986682613857958,0.11373119995505095,0.0,real_activation,0.11566693151935183,0.10792325170268205,0.1234106113360216,gradient_starved,gradient_starved,gradient_starved,8,causal,0.116982100696617,0.1098187240156652,0.12414547737756881,0.031115047439315487,0.9996373731657016,24,0.9855890908031655,0.984465937032152,0.9867122445741789,0.0,0.5,2,0.04503277312536782,0.03783270416848682,0.052232842082248813,0.273278675394408,0.00013554703699360853,0.00012420763944661202,0.00014688643454060504
0.0,0.14519540516888282,0.14389937303545727,0.14649143730230837,1.0,1,0.25,32,0.0013733557430248497,0.0448421641830698,0.042527757497842586,0.04715657086829702,0.0,synthetic,0.05863835592736384,0.055792312018060244,0.06148439983666744,diffuse,diffuse,gradient_starved,8,unmasked,0.059059211607366394,0.05588997355715326,0.06222844965757953,0.09750571111957732,0.9999762691570212,24,0.9931705602460099,0.9917571614607298,0.9945839590312899,0.0,0.5,2,0.03847917912964777,0.03755003614063072,0.039408322118664824,0.20242757283795854,4.89623707553125e-05,3.741842832054134e-05,6.050631319008367e-05
0.0,0.4655068586332944,0.45892338614197,0.4720903311246188,1.0,1,0.25,32,0.001984119004622319,0.06160048964364091,0.05195627001378978,0.07124470927349204,0.0,synthetic,0.10328861358108563,0.09732817162494997,0.10924905553722128,diffuse,diffuse,gradient_starved,8,causal,0.10523245821567044,0.10006097925975464,0.11040393717158624,0.09750571111957732,0.9999762691570212,24,0.9938608342709827,0.9933072504076806,0.9944144181342849,0.0,0.5,2,0.07409887160149198,0.07199382679573443,0.07620391640724954,0.17635835863729254,6.963578039071244e-05,5.1057239261558986e-05,8.82143215198659e-05
0.0,0.19404178343985984,0.18541536831510697,0.20266819856461274,1.0,1,,32,-0.010172639407631676,0.04982956615818783,0.04898815384034475,0.050670978476030915,0.0,real_activation,0.06019103136099961,0.05837660074651845,0.06200546197548078,diffuse,diffuse,gradient_starved,8,unmasked,0.06083116635084285,0.05895517985272524,0.06270715284896045,0.031115047439315487,0.9996373731657016,24,0.9926093913212193,0.9913519474676855,0.9938668351747532,0.0,0.5,2,0.03894606420142752,0.03847683463752453,0.03941529376533052,0.19872832888898623,8.007993120126035e-05,6.502541795184899e-05,9.513444445067173e-05
0.0,0.4717785356572606,0.4619527925869251,0.481604278727596,1.0,1,,32,-0.017101967783768282,0.06966289250949428,0.0686897859045912,0.07063599911439736,0.0,real_activation,0.10971075179026543,0.10150150402342654,0.1179199995571043,diffuse,diffuse,gradient_starved,8,causal,0.11213777258401668,0.10269671529783839,0.12157882987019497,0.031115047439315487,0.9996373731657016,24,0.9918419883610337,0.9899450761772505,0.9937389005448168,0.0,0.5,2,0.07308554649777607,0.06439826647489265,0.0817728265206595,0.19126472483229942,0.0001533026578521656,0.00013659334900492428,0.00017001196669940696
0.0,0.1505166520778179,0.14540658349627858,0.1556267206593572,0.7071067811865476,2,0.25,32,-0.025698206372957576,0.04272872116842734,0.041768683112122264,0.04368875922473242,0.7071067811865476,synthetic,0.06064653936972088,0.059926121087492415,0.06136695765194934,diffuse,diffuse,gradient_starved,8,unmasked,0.06148011945080875,0.06078971115233518,0.06217052774928232,0.09750571111957732,0.9999762691570212,24,0.9939899685686269,0.9933217874695803,0.9946581496676734,0.7853981633974483,0.5,2,0.03952764302279432,0.038928542134430706,0.04012674391115793,0.189490321096917,4.1439024080773434e-05,3.6563717811379443e-05,4.631433035016742e-05
0.0,0.4730461109537564,0.4652509058345104,0.48084131607300246,0.7071067811865476,2,0.25,32,-0.01771177200567966,0.05651114087200497,0.055390957830483055,0.05763132391352688,0.7071067811865476,synthetic,0.10701345356751779,0.10344501056935092,0.11058189656568465,diffuse,diffuse,gradient_starved,8,causal,0.1092149569565102,0.10660945125117208,0.11182046266184835,0.09750571111957732,0.9999762691570212,24,0.9938206237157586,0.9933053321226251,0.9943359153088922,0.7853981633974483,0.5,2,0.07939937871120412,0.07603750234365052,0.08276125507875771,0.17326581592291312,6.355768633966867e-05,5.870526430853557e-05,6.841010837080177e-05
